Drug_Protein Pair,Max DDT,Sum DDT,Max DDDT,Sum DDDT,Max DTTT,Sum DTTT,Max DTDT,degree of starting node,degree of ending node,max deg DDT,max deg DDDT,max deg DTTT,max deg DTDT_x,drug_centrality,target_centrality,betweenness_cen drug,betweenness_cen target,Label_x,max deg DTDT_y,Label_y
"('PIRFENIDONE', 'EPHB2')",0.10284810126582278,0.02284068083533668,0.09565849472840893,0.016214914318129454,0.3712168692690736,0.08960400253557378,0.0,0.5015873015873016,0.04615384615384616,0.6521106259097526,0.7614770459081837,0.5832389580973952,0.0,0.8446815171794296,0.7142194031676911,0.00011665317260979885,0.0,0,0.0,1
"('PIRFENIDONE', 'PTPRM')",0.3528960486075949,0.05756529140635864,0.3416037419644288,0.044421582202612116,0.4887171229130035,0.11796611077211992,0.0,0.5015873015873016,0.04615384615384616,0.6564774381368268,0.7644710578842315,0.5832389580973952,0.0,0.8446815171794296,0.7980636234373837,0.00011665317260979885,0.0,0,0.0,1
"('WARFARIN', 'RHEB')",0.20253164556962025,0.03303747163570145,0.18671144137157508,0.022997150366715853,0.1849155739155137,0.04463475915471593,0.0,0.5174603174603175,0.030769230769230767,0.6637554585152838,0.7694610778443114,0.5889014722536806,0.0,0.9485553208444324,0.7139984535682015,0.03612494331133486,0.0,0,0.0,1
"('WARFARIN', 'BMPR2')",0.0,0.0,0.058171151546226575,0.006804692967355849,0.1687091253090453,0.04072286079490823,0.0,0.5174603174603175,0.030769230769230767,0.0,0.7654690618762475,0.5889014722536806,0.0,0.9485553208444324,0.7097170961995175,0.03612494331133486,0.0,0,0.0,1
"('WARFARIN', 'VAMP2')",0.0,0.0,0.32376804845377344,0.03957936752797295,0.20652417136350254,0.04985062346694991,0.0,0.5174603174603175,0.04615384615384616,0.0,0.7724550898203593,0.5900339750849377,0.0,0.9485553208444324,0.7126756209948456,0.03612494331133486,0.0071439811279846105,0,0.0,1
"('WARFARIN', 'EPHB3')",0.0,0.0,0.3257396524915879,0.03384208440411258,0.29295856115545804,0.07071408071588582,0.0,0.5174603174603175,0.030769230769230767,0.0,0.7554890219560878,0.5889014722536806,0.0,0.9485553208444324,0.7085188029818452,0.03612494331133486,0.0,0,0.0,1
"('WARFARIN', 'EPHB2')",0.0,0.0,0.08469230956577471,0.01238035929795992,0.23893706753548585,0.057674419935300876,0.0,0.5174603174603175,0.04615384615384616,0.0,0.7664670658682635,0.5900339750849377,0.0,0.9485553208444324,0.7142194031676911,0.03612494331133486,0.0,0,0.0,1
"('WARFARIN', 'PTPRM')",0.3476289437974684,0.05670610801663496,0.3036090390642525,0.0326735792724336,0.3145671586034469,0.08749795124629957,0.0,0.5174603174603175,0.04615384615384616,0.6637554585152838,0.7694610778443114,0.7349943374858438,0.0,0.9485553208444324,0.7980636234373837,0.03612494331133486,0.0,0,0.0,1
"('WARFARIN', 'COQ8B')",0.0,0.0,0.11634230206697645,0.0136093859347117,0.0,0.0,0.0,0.5174603174603175,0.030769230769230767,0.0,0.7654690618762475,0.0,0.0,0.9485553208444324,0.6743608476911335,0.03612494331133486,0.0,0,0.0,1
"('NILOTINIB', 'HLAG')",0.2614735473417721,0.09699099774638308,0.22218396487742348,0.07965427981331531,0.21660174090600812,0.0522831383702114,0.0,0.6825396825396826,0.061538461538461535,0.7467248908296943,0.8263473053892215,0.6511891279728199,0.0,0.8974829130061465,0.7195635221575262,3.5498767182119825e-05,0.0,0,0.0,1
